RegID,RegName,fp_2019(%),fp_2022(%),fp_2019_HP_plus_upfront(%),fp_2022_HP_plus_upfront(%),fp_2019_HP_plus_upfront_plus_network(%),fp_2022_HP_plus_upfront_plus_network(%),off_gas_GHG_emission(kgCO2e),off_gas_GHG_emission_HP(kgCO2e),off_gas_GHG_reduction_rate(%),network_upgrade_cost(M£),network_upgrade_cost_per_PS(M£),number_of_PS,off_gas_rate(%)
S12000039,West Dunbartonshire,38.67356580237512,72.1074437825112,36.447356294128504,71.57026239244823,36.447356294128504,71.57026239244823,12180992.408927191,4726161.006332988,0.6120052580552234,0.0,0.0,9,0.08778223070751712
S12000040,West Lothian,23.885434154223294,53.59347594038228,23.480301364178047,52.85836090749848,23.480301364178047,52.85836090749848,24837144.774403237,7522498.292024957,0.6971270908813351,0.0,0.0,17,0.05555016452446696
S12000041,Angus,40.36751858843133,78.14181887741199,36.99106065521546,75.1113806297006,37.46436203889188,75.1113806297006,109671483.94834301,34861032.862150654,0.682132204223928,1.9635554962798456,0.10908641645999143,18,0.3043316375851151
S12000042,Dundee City,43.6378965123406,74.08159105297301,38.22926504604189,72.51553373293149,38.22926504604189,72.51553373293149,41008390.805619486,15831581.224777432,0.6139428806212023,0.0,0.0,18,0.1887044400534129
S12000045,East Dunbartonshire,28.397755913037887,62.47770140094665,27.005200143415774,61.158351106142646,27.005200143415774,61.158351106142646,7043681.64883648,2387631.559265338,0.6610250607138467,0.0,0.0,7,0.05233993239725465
S12000047,Fife,35.67541349234732,71.40952178873769,34.07529087180929,70.96714887633085,34.30332525150729,70.96714887633085,81330151.63296895,24913308.297568794,0.6936768492698882,0.6891405975014616,0.017670271730806708,39,0.09151724006710905
S12000048,Perth and Kinross,43.95448531327087,72.02601331843515,40.18504260051577,70.80955563023491,40.18504260051577,70.80955563023491,174041475.6625392,56263495.46835729,0.676723635822013,2.5830774442625968,0.07597286600772343,34,0.3439828037620578
S12000049,Glasgow City,31.195319392762638,64.6618275474837,29.39156541129536,62.50842960692052,29.39156541129536,62.50842960692052,83535554.42372283,34002337.74523238,0.5929596926745694,0.0,0.0,56,0.1420200121505401
S12000050,North Lanarkshire,27.36643824532164,62.50887954995289,25.749089557727245,60.975897148132276,25.749089557727245,60.975897148132276,36205415.375619926,11995475.859114937,0.6686828272879732,0.0,0.0,27,0.07935578239542539
E12000001,North East,19.40378148722389,54.47977703051903,19.88133352126667,54.65646792716241,19.88133352126667,54.65646792716241,221422082.82308587,67990735.58194572,0.6929360671028026,0.0,0.0,131,0.06443428709502044
E12000002,North West,17.53844120576292,50.946268060247235,17.097742065920787,50.47970282308628,17.13377209199142,50.497104224323884,802197126.7957222,249284589.77520347,0.6892477154948933,42.279838002578366,0.0791757265965887,534,0.08379514176792573
E12000003,Yorkshire and The Humber,18.617449828714296,52.23232731206158,19.07506985848513,51.41006308260246,19.07506985848513,51.41006308260246,836347379.420398,254696669.2483129,0.6954654542890757,32.41108097006167,0.0828927902047613,391,0.09855184763612222
E12000004,East Midlands,14.388733546285678,43.65824539915294,13.664305644777203,43.520673399945245,13.664305644777203,43.520673399945245,1012969413.3549548,311031088.7445714,0.6929511546509225,54.327027299274334,0.17753930489958933,306,0.13179535145246835
E12000005,West Midlands,20.75766626719771,52.35897253477159,20.30034177697039,51.95643703130373,20.30034177697039,52.01866750730962,746833818.3629471,228889817.0201122,0.6935197477775759,49.44695689645437,0.24600476067887744,201,0.08944833623428752
E12000006,East of England,17.86519456631676,47.58673703025007,18.01499621960104,46.30220409873225,18.224542701689444,46.47914511762813,1672765179.037916,507769941.3245189,0.6964487617941924,299.52328039020296,0.7944914599209627,377,0.17828269739301547
E12000007,London,19.11012482090191,43.903868059913115,19.622956216897684,43.01233525556681,19.622956216897684,43.01233525556681,850476063.2822657,269685847.2769631,0.6829001321493317,1.58744719244501,0.007055320855311156,225,0.14281101122023013
E12000008,South East,13.673581730800514,41.82801310222678,13.075262324330867,40.30184053231375,13.091477436138357,40.31456796357196,1396100196.8425522,432935193.5306623,0.6898967606266391,44.20192342889555,0.08650082862797563,511,0.12654215994138615
E12000009,South West,16.90325288360727,48.999778137847684,15.545288312670252,47.89975835447164,15.63875875734768,47.94140756718138,2008388952.5834575,615547244.2139539,0.6935119348161346,82.90161613287056,0.17676250774599267,469,0.21327120125139865
